Node_id,Node name,Skill tree ID,Branch,Excercise id,Previous Node_id,Difficulty,(Optional) weight setting
squat_barbell_plus_50,Barbell Squat (50% Bodyweight),squat,weighted,squat_barbell,squat_barbell_plus_25,3,user_bodyweight * 0.50
squat_barbell_plus_75,Barbell Squat (75% Bodyweight),squat,weighted,squat_barbell,squat_barbell_plus_50,4,user_bodyweight * 0.75
squat_barbell_plus_100,Barbell Squat (100% Bodyweight),squat,weighted,squat_barbell,squat_barbell_plus_75,4,user_bodyweight
squat_barbell_plus_125,Barbell Squat (125% Bodyweight),squat,weighted,squat_barbell,squat_barbell_plus_100,4,user_bodyweight * 1.25
squat_barbell_plus_150,Barbell Squat (150% Bodyweight),squat,weighted,squat_barbell,squat_barbell_plus_125,5,user_bodyweight * 1.5
squat_barbell_plus_175,Barbell Squat (175% Bodyweight),squat,weighted,squat_barbell,squat_barbell_plus_150,5,user_bodyweight * 1.75
squat_barbell_plus_200,Barbell Squat (200% Bodyweight),squat,weighted,squat_barbell,squat_barbell_plus_175,6,user_bodyweight * 2
squat_box_pistol_squat_knee_height,Box Pistol Squat (Knee Height),squat,pistol,pistol_squat_box,squat_bulgarian_split_squat,3,
squat_box_pistol_squat_mid_calf_height,Box Pistol Squat (Mid-Calf Height),squat,pistol,pistol_squat_box,squat_box_pistol_squat_knee_height,3,
squat_assisted_pistol_squat,Assisted Pistol Squats,squat,pistol,assisted_pistol_squats,squat_box_pistol_squat_mid_calf_height,4,
squat_counter_weighted_pistol_squat,Pistol Squat (Counterweighted),squat,pistol,pistol_squat_counterweighted,squat_assisted_pistol_squat,5,
squat_pistol_squat,Pistol Squat,squat,pistol,pistol_squat,squat_counter_weighted_pistol_squat,5,
squat_bulgarian_split_squat,Bulgarian Split Squat,squat,shrimp,bulgarian_split_squat,squat_deep_squat,2,
squat_beginner_shrimp_squat,Shrimp Squat (Beginner),squat,shrimp,shrimp_squat_beginner,squat_bulgarian_split_squat,3,
squat_intermediate_shrimp_squat,Shrimp Squat (Intermediate),squat,shrimp,shrimp_squat_intermediate,squat_beginner_shrimp_squat,4,
