Skill tree,Skill tree id,Branch name,Branch id,Step,Exercise,Exercise id,Difficulty,Previous node,Previous node id,Prerequisite ids,Shared foundation,Movement pattern,Measured in,Tree order
Rows,rows,Weighted,weighted,11,+50% Bodyweight,rows_weighted_rows_plus_50,5,+35% Bodyweight,rows_weighted_rows_plus_35,rows_weighted_rows_plus_35,no,Horizontal Pull,reps,10
Rows,rows,Weighted,weighted,12,+75% Bodyweight,rows_weighted_rows_plus_75,5,+50% Bodyweight,rows_weighted_rows_plus_50,rows_weighted_rows_plus_50,no,Horizontal Pull,reps,11
Rows,rows,Weighted,weighted,13,+Bodyweight (2x total load),rows_weighted_rows_plus_bodyweight,5,+75% Bodyweight,rows_weighted_rows_plus_75,rows_weighted_rows_plus_75,no,Horizontal Pull,reps,12
Pushups,pushups,One Arm,one_arm,1,Wall Pushups,pushups_wall_push_up,1,,,,yes,Horizontal Push,reps,0
Pushups,pushups,One Arm,one_arm,2,Incline Pushups,pushups_incline_push_up,1,Wall Pushups,pushups_wall_push_up,pushups_wall_push_up,yes,Horizontal Push,reps,1
Pushups,pushups,One Arm,one_arm,3,Pushup,pushups_push_up,2,Incline Pushups,pushups_incline_push_up,pushups_incline_push_up,yes,Horizontal Push,reps,2
Pushups,pushups,One Arm,one_arm,4,Elbows in Pushup,pushups_elbows_in_push_up,3,Pushup,pushups_push_up,pushups_push_up,yes,Horizontal Push,reps,3
Pushups,pushups,One Arm,one_arm,5,Decline Pushup,pushups_decline_push_up,3,Elbows in Pushup,pushups_elbows_in_push_up,pushups_elbows_in_push_up,yes,Horizontal Push,reps,4
Pushups,pushups,One Arm,one_arm,6,Diamond Pushup,pushups_diamond_push_up,4,Decline Pushup,pushups_decline_push_up,pushups_decline_push_up,yes,Horizontal Push,reps,5
Pushups,pushups,One Arm,one_arm,7,Uneven Pushup,pushups_uneven_push_up,4,Diamond Pushup,pushups_diamond_push_up,pushups_diamond_push_up,no,Horizontal Push,reps,6
Pushups,pushups,One Arm,one_arm,8,Archer Pushups,pushups_archer_push_up,4,Uneven Pushup,pushups_uneven_push_up,pushups_uneven_push_up,no,Horizontal Push,reps,7
Pushups,pushups,One Arm,one_arm,9,Incline One Arm Pushups,pushups_incline_one_arm_push_up,5,Archer Pushups,pushups_archer_push_up,pushups_archer_push_up,no,Horizontal Push,reps,8
Pushups,pushups,One Arm,one_arm,10,One-arm Pushup,pushups_one_arm_push_up,5,Incline One Arm Pushups,pushups_incline_one_arm_push_up,pushups_incline_one_arm_push_up,no,Horizontal Push,reps,9
Pushups,pushups,Rings,rings,1,Wall Pushups,pushups_wall_push_up,1,,,,yes,Horizontal Push,reps,0
Pushups,pushups,Rings,rings,2,Incline Pushups,pushups_incline_push_up,1,Wall Pushups,pushups_wall_push_up,pushups_wall_push_up,yes,Horizontal Push,reps,1
Pushups,pushups,Rings,rings,3,Pushup,pushups_push_up,2,Incline Pushups,pushups_incline_push_up,pushups_incline_push_up,yes,Horizontal Push,reps,2
Pushups,pushups,Rings,rings,4,Elbows in Pushup,pushups_elbows_in_push_up,3,Pushup,pushups_push_up,pushups_push_up,yes,Horizontal Push,reps,3
Pushups,pushups,Rings,rings,5,Decline Pushup,pushups_decline_push_up,3,Elbows in Pushup,pushups_elbows_in_push_up,pushups_elbows_in_push_up,yes,Horizontal Push,reps,4
Pushups,pushups,Rings,rings,6,Diamond Pushup,pushups_diamond_push_up,4,Decline Pushup,pushups_decline_push_up,pushups_decline_push_up,yes,Horizontal Push,reps,5
Pushups,pushups,Rings,rings,7,Ring Wide Pushups,pushups_ring_wide_push_up,4,Diamond Pushup,pushups_diamond_push_up,pushups_diamond_push_up,no,Horizontal Push,reps,6
Pushups,pushups,Rings,rings,8,Ring Pushup,pushups_ring_push_up,4,Ring Wide Pushups,pushups_ring_wide_push_up,pushups_ring_wide_push_up,no,Horizontal Push,reps,7
Pushups,pushups,Rings,rings,9,RTO Pushup,pushups_rto_push_up,4,Ring Pushup,pushups_ring_push_up,pushups_ring_push_up,no,Horizontal Push,reps,8
Pushups,pushups,Rings,rings,10,RTO Archer Pushups,pushups_rto_archer_push_up,5,RTO Pushup,pushups_rto_push_up,pushups_rto_push_up,no,Horizontal Push,reps,9
Pushups,pushups,Rings,rings,11,RTO Pseudo Planche Push-Up (Lower Chest),pushups_rto_pseudo_planche_push_up_lower_chest,5,RTO Archer Pushups,pushups_rto_archer_push_up,pushups_rto_archer_push_up,no,Horizontal Push,reps,10
Pushups,pushups,Rings,rings,12,RTO Pseudo Planche Push-Up (Belly Button),pushups_rto_pseudo_planche_push_up_belly_button,5,RTO Pseudo Planche Push-Up (Lower Chest),pushups_rto_pseudo_planche_push_up_lower_chest,pushups_rto_pseudo_planche_push_up_lower_chest,no,Horizontal Push,reps,11
Pushups,pushups,Rings,rings,13,RTO Pseudo Planche Push-Up (Hips),pushups_rto_pseudo_planche_push_up_hips,5,RTO Pseudo Planche Push-Up (Belly Button),pushups_rto_pseudo_planche_push_up_belly_button,pushups_rto_pseudo_planche_push_up_belly_button,no,Horizontal Push,reps,12
Pushups,pushups,Planche,planche,1,Wall Pushups,pushups_wall_push_up,1,,,,yes,Horizontal Push,reps,0
Pushups,pushups,Planche,planche,2,Incline Pushups,pushups_incline_push_up,1,Wall Pushups,pushups_wall_push_up,pushups_wall_push_up,yes,Horizontal Push,reps,1
Pushups,pushups,Planche,planche,3,Pushup,pushups_push_up,2,Incline Pushups,pushups_incline_push_up,pushups_incline_push_up,yes,Horizontal Push,reps,2
Pushups,pushups,Planche,planche,4,Elbows in Pushup,pushups_elbows_in_push_up,3,Pushup,pushups_push_up,pushups_push_up,yes,Horizontal Push,reps,3
Pushups,pushups,Planche,planche,5,Decline Pushup,pushups_decline_push_up,3,Elbows in Pushup,pushups_elbows_in_push_up,pushups_elbows_in_push_up,yes,Horizontal Push,reps,4
Pushups,pushups,Planche,planche,6,Diamond Pushup,pushups_diamond_push_up,4,Decline Pushup,pushups_decline_push_up,pushups_decline_push_up,yes,Horizontal Push,reps,5
Pushups,pushups,Planche,planche,7,Pseudo Planche Push-Up (Lower Chest),pushups_pseudo_planche_push_up_lower_chest,4,Diamond Pushup,pushups_diamond_push_up,pushups_diamond_push_up,no,Horizontal Push,reps,6
Pushups,pushups,Planche,planche,8,Pseudo Planche Push-Up (Belly Button),pushups_pseudo_planche_push_up_belly_button,4,Pseudo Planche Push-Up (Lower Chest),pushups_pseudo_planche_push_up_lower_chest,pushups_pseudo_planche_push_up_lower_chest,no,Horizontal Push,reps,7
Pushups,pushups,Planche,planche,9,Pseudo Planche Push-Up (Hips),pushups_pseudo_planche_push_up_hips,5,Pseudo Planche Push-Up (Belly Button),pushups_pseudo_planche_push_up_belly_button,pushups_pseudo_planche_push_up_belly_button,no,Horizontal Push,reps,8
Pushups,pushups,Planche,planche,10,Tuck Planche Pushups,pushups_tuck_planche_push_up,5,Pseudo Planche Push-Up (Hips),pushups_pseudo_planche_push_up_hips,pushups_pseudo_planche_push_up_hips,no,Horizontal Push,reps,9
Pushups,pushups,Planche,planche,11,Advanced Tuck Planche Pushups,pushups_advanced_tuck_planche_push_up,5,Tuck Planche Pushups,pushups_tuck_planche_push_up,pushups_tuck_planche_push_up,no,Horizontal Push,reps,10
Pushups,pushups,Planche,planche,12,Straddle Planche Pushups,pushups_straddle_planche_push_up,5,Advanced Tuck Planche Pushups,pushups_advanced_tuck_planche_push_up,pushups_advanced_tuck_planche_push_up,no,Horizontal Push,reps,11
Pushups,pushups,Planche,planche,13,Planche Pushups,pushups_planche_push_up,5,Straddle Planche Pushups,pushups_straddle_planche_push_up,pushups_straddle_planche_push_up,no,Horizontal Push,reps,12
Planche,planche,Main,main,1,Planche Lean (Slight),planche_planche_lean_just_past,3,,,,no,Horizontal Push,seconds,0
Planche,planche,Main,main,2,Planche Lean (Moderate),planche_planche_lean_moderate,3,Planche Lean (Slight),planche_planche_lean_just_past,planche_planche_lean_just_past,no,Horizontal Push,seconds,1
Planche,planche,Main,main,3,Planche Lean (Deep),planche_planche_lean_far_past,4,Planche Lean (Moderate),planche_planche_lean_moderate,planche_planche_lean_moderate,no,Horizontal Push,seconds,2
Planche,planche,Main,main,4,Tuck Planche Lean,planche_tuck_planche_lean,4,Planche Lean (Deep),planche_planche_lean_far_past,planche_planche_lean_far_past,no,Horizontal Push,seconds,3
Planche,planche,Main,main,5,Tuck Planche,planche_tuck_planche_hold,4,Tuck Planche Lean,planche_tuck_planche_lean,planche_tuck_planche_lean,no,Horizontal Push,seconds,4
Planche,planche,Main,main,6,Advanced Tuck Planche,planche_advanced_tuck_planche_hold,5,Tuck Planche,planche_tuck_planche_hold,planche_tuck_planche_hold,no,Horizontal Push,seconds,5
Planche,planche,Main,main,7,Straddle Planche (Wide),planche_straddle_planche_wide,5,Advanced Tuck Planche,planche_advanced_tuck_planche_hold,planche_advanced_tuck_planche_hold,no,Horizontal Push,seconds,6
Planche,planche,Main,main,8,Straddle Planche (Medium),planche_straddle_planche_medium,5,Straddle Planche (Wide),planche_straddle_planche_wide,planche_straddle_planche_wide,no,Horizontal Push,seconds,7
Planche,planche,Main,main,9,Straddle Planche (Narrow),planche_straddle_planche_narrow,5,Straddle Planche (Medium),planche_straddle_planche_medium,planche_straddle_planche_medium,no,Horizontal Push,seconds,8
Planche,planche,Main,main,10,Full Planche,planche_full_planche_hold,5,Straddle Planche (Narrow),planche_straddle_planche_narrow,planche_straddle_planche_narrow,no,Horizontal Push,seconds,9
Squat,squat,Pistol,pistol,1,Assisted Squat,squat_assisted_squat,1,,,,yes,Squat,reps,0
Squat,squat,Pistol,pistol,2,Deep Assisted Squat,squat_deep_assisted_squat,1,Assisted Squat,squat_assisted_squat,squat_assisted_squat,yes,Squat,reps,1
Squat,squat,Pistol,pistol,3,Squat,squat_squat,1,Deep Assisted Squat,squat_deep_assisted_squat,squat_deep_assisted_squat,yes,Squat,reps,2
Squat,squat,Pistol,pistol,4,Deep Squat,squat_deep_squat,2,Squat,squat_squat,squat_squat,yes,Squat,reps,3
Squat,squat,Pistol,pistol,5,Bulgarian Split Squat,squat_bulgarian_split_squat,2,Deep Squat,squat_deep_squat,squat_deep_squat,yes,Squat,reps,4
Squat,squat,Pistol,pistol,6,Box Pistol Squat (Knee Height),squat_box_pistol_squat_knee_height,3,Bulgarian Split Squat,squat_bulgarian_split_squat,squat_bulgarian_split_squat,no,Squat,reps,5
Squat,squat,Pistol,pistol,7,Box Pistol Squat (Mid-Calf Height),squat_box_pistol_squat_mid_calf_height,3,Box Pistol Squat (Knee Height),squat_box_pistol_squat_knee_height,squat_box_pistol_squat_knee_height,no,Squat,reps,6
Squat,squat,Pistol,pistol,8,Assisted Pistol Squat,squat_assisted_pistol_squat,4,Box Pistol Squat (Mid-Calf Height),squat_box_pistol_squat_mid_calf_height,squat_box_pistol_squat_mid_calf_height,no,Squat,reps,7
Squat,squat,Pistol,pistol,9,Counterweighted Pistol Squat,squat_counter_weighted_pistol_squat,5,Assisted Pistol Squat,squat_assisted_pistol_squat,squat_assisted_pistol_squat,no,Squat,reps,8
Squat,squat,Pistol,pistol,10,Pistol Squat,squat_pistol_squat,5,Counterweighted Pistol Squat,squat_counter_weighted_pistol_squat,squat_counter_weighted_pistol_squat,no,Squat,reps,9
Squat,squat,Shrimp,shrimp,1,Assisted Squat,squat_assisted_squat,1,,,,yes,Squat,reps,0
Squat,squat,Shrimp,shrimp,2,Deep Assisted Squat,squat_deep_assisted_squat,1,Assisted Squat,squat_assisted_squat,squat_assisted_squat,yes,Squat,reps,1
Squat,squat,Shrimp,shrimp,3,Squat,squat_squat,1,Deep Assisted Squat,squat_deep_assisted_squat,squat_deep_assisted_squat,yes,Squat,reps,2
Squat,squat,Shrimp,shrimp,4,Deep Squat,squat_deep_squat,2,Squat,squat_squat,squat_squat,yes,Squat,reps,3
Squat,squat,Shrimp,shrimp,5,Bulgarian Split Squat,squat_bulgarian_split_squat,2,Deep Squat,squat_deep_squat,squat_deep_squat,yes,Squat,reps,4
Squat,squat,Shrimp,shrimp,6,Beginner Shrimp Squat,squat_beginner_shrimp_squat,3,Bulgarian Split Squat,squat_bulgarian_split_squat,squat_bulgarian_split_squat,no,Squat,reps,5
Squat,squat,Shrimp,shrimp,7,Intermediate Shrimp Squat,squat_intermediate_shrimp_squat,4,Beginner Shrimp Squat,squat_beginner_shrimp_squat,squat_beginner_shrimp_squat,no,Squat,reps,6
Squat,squat,Shrimp,shrimp,8,Advanced Shrimp Squat,squat_advanced_shrimp_squat,5,Intermediate Shrimp Squat,squat_intermediate_shrimp_squat,squat_intermediate_shrimp_squat,no,Squat,reps,7
Core,core,L-Sit / V-Sit,l_sit,1,Foot Supported L-sit,core_foot_supported_l_sit,1,,,,no,Core,seconds,0
Core,core,L-Sit / V-Sit,l_sit,2,Tuck L-sit,core_l_sit_tuck,2,Foot Supported L-sit,core_foot_supported_l_sit,core_foot_supported_l_sit,no,Core,seconds,1
Core,core,L-Sit / V-Sit,l_sit,3,Advanced Tuck L-sit,core_advanced_tuck_l_sit,3,Tuck L-sit,core_l_sit_tuck,core_l_sit_tuck,no,Core,seconds,2
Core,core,L-Sit / V-Sit,l_sit,4,L-sit,core_l_sit,3,Advanced Tuck L-sit,core_advanced_tuck_l_sit,core_advanced_tuck_l_sit,no,Core,seconds,3
Core,core,L-Sit / V-Sit,l_sit,5,Straddle L-sit,core_straddle_l_sit,4,L-sit,core_l_sit,core_l_sit,no,Core,seconds,4
Core,core,L-Sit / V-Sit,l_sit,6,V-sit,core_v_sit,5,Straddle L-sit,core_straddle_l_sit,core_straddle_l_sit,no,Core,seconds,5
Core,core,Ab Wheel,ab_wheel,1,25s Plank,core_plank,1,,,,no,Core,seconds,0
Core,core,Ab Wheel,ab_wheel,2,60s Plank,core_plank_60s,2,25s Plank,core_plank,core_plank,no,Core,seconds,1
